Title,Price,Category,Image url
super capacitor – 5.5V 4.0F  (9480),9.0,კონდენსატორები,https://store.edison.ge/wp-content/uploads/2019/02/20190228_112530-352x225.jpg
TDA7293    (40890),19.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/02/p-qtda7293-352x225.png
TO-220 ტრანზისტორის იზოლატორი   (44696),0.5,აქსესუარები,https://store.edison.ge/wp-content/uploads/2021/04/to-220-cap-352x225.jpg
TPDV1240  (14224),16.0,ტირისტორები,https://store.edison.ge/wp-content/uploads/2019/07/20190710_180126-352x225.jpg
TYN60H 60A 2200V   (45971),28.0,ტირისტორები,https://store.edison.ge/wp-content/uploads/2021/04/ON_Semiconductor-MJL21194G-image-352x225.jpg
TYN80C  80A 1600V   (45968),25.0,ტირისტორები,https://store.edison.ge/wp-content/uploads/2021/04/ON_Semiconductor-MJL21194G-image-352x225.jpg
UC3848L  (54497),9.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/11/s-l300-300x225.jpg
UF1602CT    (43191),2.5,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/TO-220-AB-352x225.jpg
YD1521   (54063),9.0,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/11/Hb9e3be68b52a4524b320ba8178061265V-352x225.jpg
ავტომობილის დამცველი (3947),0.5,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2018/11/22269FL-352x225.gif
ბოგირი DB107 (3640),1.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/db107-rectifier-diode-1000x1000-352x225.jpg
ბოგირი DB107S (3644),1.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/Bridge-Rectifier-DB107S-352x225.jpg
ბოგირი DB157s (3647),1.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/DB157S-352x225.jpg
ბოგირი DB207S (3648),1.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/e59ccbdd4959adedc4b7fe5d36075184-352x225.jpg
ბოგირი KBPC1010 (3669),3.5,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/High-Quality-Kbpc1010-Bridge-Rectifier-Transistor-352x225.jpg
ბოგირი KBPC1010-მეტალის კორპუსში (3672),3.7,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/0fd78d8d-3eda-43e4-81e5-13494a1d24d7_1.ad9e1ddfe2096df6efc626655f05faa3-352x225.jpeg
ბოგირი KBPC1510 (3675),5.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/Bridge-Rectifiers-Kbpc-Series-15A-50-1000V-Rectifier-Bridge-Diode-Kbpc1510-352x225.jpg
ბოგირი KBPC2510 (3683),5.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/MCIGICM-5PCS-25A-1000V-diode-bridge-rectifier-kbpc2510.jpg_640x640q90-352x225.jpg
ბოგირი KBPC3510 (3680),6.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/item_XL_23982691_34933034-352x225.jpg
ბოგირი KBPC5010 (3686),7.0,ბოგირები,https://store.edison.ge/wp-content/uploads/2018/10/410-Th9amLL._SX342_-342x225.jpg
განმმუხტველი 150v   (21056),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 230v   (21055),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 350v   (21054),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 470v   (21053),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 600v   (21044),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 75v (21061),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
განმმუხტველი 90v   (21057),1.0,განმმუხტველები,https://store.edison.ge/wp-content/uploads/2019/12/discharger-352x225.jpg
დამცველი Jcase fuse  (48270),0,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2021/06/EMF-J-2T-352x225.jpg
დამცველი Mcase fuse   (48277),0,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2021/06/22810_1-B-352x225.jpg
დამცველი Micro 2 Blade   (48286),0.5,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2021/06/micro-2-blade-352x225.jpg
დამცველი Micro 3 Blade   (48294),2.0,დნობადი მცველი,https://store.edison.ge/wp-content/uploads/2021/06/Micro3-352x225.jpg
დამცველის ბუდე 10A 250V (6567),1.9,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/12/SKU118357-1-352x225.jpg
დამცველის ბუდე 5x20mm (6451),3.6,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/12/HTB1bhk0JVXXXXaFXXXXq6xXFXXX5-352x225.jpg
დამცველის ბუდე ხუფით 5x20mm (6459),0.4,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/12/open_fuse_carrier-352x225.jpg
დამცველის ბუდე ხუფით 5x20mm (6477),0.9,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/12/s-l300-1-1-300x225.jpg
დამცველის ბუდე ხუფით 5x20mm (6482),0.9,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/12/DSC_0505-352x225.jpg
დამცველის ბუდე+მცველი (ავტომობილის) (3997),2.5,აქსესუარები,https://store.edison.ge/wp-content/uploads/2018/11/car-fuse-280x225.jpg
დინისტორი DB3 32V 2A  (45571),0.5,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/04/DB3-DIAC_1200x1200-352x225.jpg
დინისტორი DB4 40V 2A   (45573),0.5,ელექტრონული კომპონენტები,https://store.edison.ge/wp-content/uploads/2021/04/DB3-DIAC_1200x1200-352x225.jpg
დიოდი  20A10    (43520),6.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/O1CN01R9Qhtx2K33Dw3S7me_2072469500-352x225.jpg
დიოდი  40CPQ100 100V 40A (6185),12.0,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/40ცპქ100-352x225.jpg
დიოდი  60CPQ150 150V 60A (6191),13.0,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/60CPQ150-352x225.jpg
დიოდი  B2545G  45V 30A (6531),3.8,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/LM338-T.jpg
დიოდი  BYV32/200 200V 18A (6218),6.7,დიოდები,https://store.edison.ge/wp-content/uploads/2018/12/s-l300-300x225.jpg
დიოდი  FR301 3A 50V   (48505),0.6,დიოდები,https://store.edison.ge/wp-content/uploads/2021/07/844397766_diod-ultrabystryj-uf4004-250x225.gif
დიოდი  MBR20200CT  200V 20A (6153),6.0,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/ასდფასდფ-352x225.jpg
დიოდი  MUR880EG 800V 8A (6177),3.9,დიოდები,https://store.edison.ge/wp-content/uploads/2018/12/SWITCHMODE_TO-220-2TO-220AC-352x225.jpg
დიოდი  SB1100 (6047),0.5,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/528-SB190-90V-1A-352x225.jpg
დიოდი  SR5200   (45584),1.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/04/do-201d_1_1-352x225.jpg
დიოდი 10MQ100N SMD 100V 2A (6039),1.0,SMD,https://store.edison.ge/wp-content/uploads/2018/12/10mq100n-225x225.jpg
დიოდი 1N4001 1A   (16797),0.1,დიოდები,https://store.edison.ge/wp-content/uploads/2019/10/დიოდი-1N4001-352x225.jpg
დიოდი 1N4007 (2806),0.1,დიოდები,https://store.edison.ge/wp-content/uploads/2018/04/1N4007-342x225.jpg
დიოდი BY500-1000 (3886),1.3,დიოდები,https://store.edison.ge/wp-content/uploads/2018/11/by500-1000-352x225.jpg
დიოდი D92-02H TO-247 (32294),1.5,დიოდები,https://store.edison.ge/wp-content/uploads/2020/04/დ92–02-222x225.jpg
დიოდი FR207  2A/1000V    (42980),0.5,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/2A-1000V-Fast-Recovery-Rectifier-Diode-Fr207-352x225.jpg
დიოდი HER208  2A 1000V    (47683),0.6,დიოდები,https://store.edison.ge/wp-content/uploads/2021/06/diod-bystryj-her508-5a-1000v-75ns-do-27-10sht-1-352x225.jpg
დიოდი HER508 1000V/5A   (47681),0.9,დიოდები,https://store.edison.ge/wp-content/uploads/2021/06/diod-bystryj-her508-5a-1000v-75ns-do-27-10sht-1-352x225.jpg
დიოდი MUR4100 (3889),1.3,დიოდები,https://store.edison.ge/wp-content/uploads/2018/11/by500-1000-352x225.jpg
დიოდი MUR6020PT   (42725),6.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/03/20191008153104_1490-352x225.jpg
დიოდი SF68G 6A 600   (54255),1.0,დიოდები,https://store.edison.ge/wp-content/uploads/2021/11/viber_image_2021-11-03_16-21-36-448-352x225.jpg
დიოდი SK510  5A 100V Schottky   (50503),1.0,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2021/08/zoom_82347445_SK510C-352x225.jpg
დიოდი SR360 3A 60V (6050),1.0,დიოდი Shottky,https://store.edison.ge/wp-content/uploads/2018/12/VS-MBR360-352x225.jpg
